iter	MAE
0	115.6119733
1	109.0305774
2	105.0801114
3	99.20952966
4	94.32659464
5	90.18547564
6	87.89875089
7	84.36639429
8	80.55293918
9	79.40117606
10	76.21741532
11	74.26453967
12	71.08864765
13	68.38115726
14	65.48530557
15	62.71797989
16	60.46437262
17	59.73115718
18	58.36081803
19	57.0975931
20	54.66757979
21	53.48391747
22	52.3993805
23	50.13934824
24	49.05537051
25	47.01926971
26	45.03014739
27	44.27707434
28	42.51023012
29	40.79253762
30	39.11302698
31	37.52113359
32	36.03579449
33	35.4881004
34	34.21906351
35	33.69426802
36	32.29415834
37	31.01268797
38	29.83120878
39	28.65646123
40	28.17692591
41	27.08673622
42	26.70936672
43	25.74869578
44	24.59963879
45	23.51829815
46	22.59598773
47	21.74315156
48	21.12909731
49	20.86519758
50	20.10088906
51	19.24443881
52	18.43664655
53	17.76342966
54	17.55926174
55	16.94268473
56	16.37319682
57	15.82434566
58	15.27861724
59	14.7808173
60	14.6112969
61	14.07807289
62	13.91012809
63	13.45055591
64	13.10913743
65	12.78609816
66	12.33693172
67	11.96535003
68	11.63453042
69	11.24864703
70	10.94859922
71	10.60210018
72	10.38978854
73	10.17608766
74	9.912389695
75	9.656405732
76	9.480170128
77	9.314547423
78	9.053222769
79	8.816159807
80	8.593148592
81	8.423077557
82	8.287320483
83	8.087020513
84	7.890662372
85	7.809622897
86	7.629577549
87	7.513175072
88	7.347374723
89	7.230553536
90	7.092749981
91	7.018924088
92	6.921935285
93	6.829747098
94	6.699969251
95	6.592476638
96	6.489855897
97	6.418664039
98	6.337310038
99	6.271006364
100	6.217910802
101	6.179193827
102	6.128755875
103	6.079278542
104	6.034806116
105	6.00359485
106	5.965407057
107	5.940246883
108	5.884538982
109	5.843943084
110	5.764193937
111	5.739076689
112	5.669219488
113	5.639878584
114	5.570918071
115	5.552844274
116	5.514747915
117	5.470998752
118	5.452727143
119	5.420569158
120	5.398440817
121	5.365838325
122	5.331983312
123	5.316835517
124	5.302596459
125	5.291229526
126	5.274509177
127	5.249152422
128	5.232110649
129	5.21418428
130	5.196357095
131	5.181053929
132	5.149567014
133	5.133173932
134	5.116458649
135	5.106236404
136	5.08558538
137	5.061745845
138	5.048455051
139	5.037295499
140	5.033488225
141	4.996407236
142	4.985739277
143	4.962468838
144	4.937091596
145	4.931763094
146	4.897996188
147	4.879594685
148	4.850568098
149	4.842851155
150	4.824155992
151	4.815270559
152	4.786424693
153	4.782326242
154	4.744528493
155	4.740067442
156	4.728748864
157	4.691760712
158	4.685721258
159	4.681848605
160	4.66394421
